Name,ISO_Code,Total_Cases
Afghanistan,AFG,12937238.0
Africa,OWID_AFR,586057065.0
Albania,ALB,10966480.0
Algeria,DZA,19419483.0
Andorra,AND,1501686.0
Angola,AGO,2961298.0
Anguilla,AIA,
Antigua and Barbuda,ATG,61660.0
Argentina,ARG,308381690.0
Armenia,ARM,28271613.0
Asia,OWID_ASI,3995482734.0
Australia,AUS,7429676.0
Austria,AUT,57162103.0
Azerbaijan,AZE,31728262.0
Bahamas,BHS,1447671.0
Bahrain,BHR,21968705.0
Bangladesh,BGD,112513613.0
Barbados,BRB,214815.0
Belarus,BLR,41455361.0
Belgium,BEL,113194681.0
Belize,BLZ,1542359.0
Benin,BEN,843563.0
Bermuda,BMU,
Bhutan,BTN,122011.0
Bolivia,BOL,40681064.0
Bosnia and Herzegovina,BIH,18337438.0
Botswana,BWA,2944436.0
Brazil,BRA,1677498337.0
Brunei,BRN,56028.0
Bulgaria,BGR,30204059.0
Burkina Faso,BFA,1355428.0
Burundi,BDI,241036.0
Cambodia,KHM,119367.0
Cameroon,CMR,6858000.0
Canada,CAN,113185435.0
Cape Verde,CPV,2384619.0
Cayman Islands,CYM,
Central African Republic,CAF,1359746.0
Chad,TCD,561015.0
Chile,CHL,154201016.0
China,CHN,36540991.0
Colombia,COL,325555196.0
Comoros,COM,320782.0
Congo,COG,1567575.0
Costa Rica,CRI,30372745.0
Cote d'Ivoire,CIV,6156725.0
Croatia,HRV,28994939.0
Cuba,CUB,4148486.0
Cyprus,CYP,3642849.0
Czechia,CZE,128737528.0
Democratic Republic of Congo,COD,4143240.0
Denmark,DNK,25678485.0
Djibouti,DJI,1689839.0
Dominica,DMA,19471.0
Dominican Republic,DOM,38911168.0
Ecuador,ECU,49425305.0
Egypt,EGY,34847431.0
El Salvador,SLV,9938101.0
Equatorial Guinea,GNQ,1408049.0
Eritrea,ERI,277802.0
Estonia,EST,5773240.0
Eswatini,SWZ,2167416.0
Ethiopia,ETH,24827167.0
Europe,OWID_EUR,4290790033.0
European Union,OWID_EUN,2760153480.0
Faeroe Islands,FRO,
Falkland Islands,FLK,
Fiji,FJI,12315.0
Finland,FIN,7329531.0
France,FRA,488979655.0
Gabon,GAB,2738913.0
Gambia,GMB,859237.0
Georgia,GEO,30327282.0
Germany,DEU,301839751.0
Ghana,GHA,14522764.0
Gibraltar,GIB,
Greece,GRC,22150846.0
Greenland,GRL,
Grenada,GRD,19994.0
Guatemala,GTM,29784020.0
Guernsey,GGY,
Guinea,GIN,3387897.0
Guinea-Bissau,GNB,721571.0
Guyana,GUY,1190865.0
Haiti,HTI,2641419.0
Honduras,HND,26939352.0
Hong Kong,HKG,
Hungary,HUN,48267189.0
Iceland,ISL,1294030.0
India,IND,1966885326.0
Indonesia,IDN,153569653.0
International,OWID_INT,288728.0
Iran,IRN,239613314.0
Iraq,IRQ,118139709.0
Ireland,IRL,26235264.0
Isle of Man,IMN,
Israel,ISR,96349509.0
Italy,ITA,370251064.0
Jamaica,JAM,2772806.0
Japan,JPN,49785533.0
Jersey,JEY,
Jordan,JOR,43864235.0
Kazakhstan,KAZ,45455870.0
Kenya,KEN,17312514.0
Kosovo,OWID_KOS,9087190.0
Kuwait,KWT,35251617.0
Kyrgyzstan,KGZ,16252722.0
Laos,LAO,10068.0
